# one hour of 5Hz jitter data
# from 24-hour data set generated 13apr2017 by tamz
# t,dq0,dq1,dq2,dq3
10.6000000000001,1.0000001270421,-1.63033711238908e-06,3.6647412550439e-07,-2.30217620751649e-07
10.8,1.00000012704189,-1.75683253650794e-06,3.59039762112129e-07,-2.04513528265227e-07
11,1.00000012704152,-1.95919448321875e-06,3.48956994286609e-07,-1.98079371502291e-07
11.2,1.00000012704113,-2.136915983433e-06,4.22725981427674e-07,-1.91300854282539e-07
11.4000000000001,1.00000012704084,-2.26152783901808e-06,4.51971930236217e-07,-1.87811486279665e-07
11.6000000000001,1.00000012704032,-2.4739753975234e-06,5.01492771788625e-07,-1.86460997898819e-07
11.8,1.00000012703982,-2.63823755076477e-06,6.41754609526785e-07,-1.79302543083792e-07
12,1.00000012703951,-2.73254696888953e-06,7.26358819830991e-07,-1.78645971508906e-07
12.2,1.00000012703896,-2.89881385563164e-06,8.22508757707119e-07,-1.86211353996046e-07
12.4000000000001,1.00000012703855,-2.98586328644716e-06,9.9637366270458e-07,-1.78407232258315e-07
12.6000000000001,1.00000012703848,-2.98060448902359e-06,1.08667715084665e-06,-1.48980484476757e-07
12.8,1.00000012703821,-3.03835719986986e-06,1.17017210104348e-06,-1.00502837517558e-07
13,1.00000012703811,-3.01532881361727e-06,1.3170062875649e-06,-2.78564310507434e-08
13.2,1.0000001270383,-2.9205412199404e-06,1.37917383505326e-06,6.94354521657559e-08
13.4000000000001,1.00000012703821,-2.91604688751161e-06,1.44306557859838e-06,1.71392383119251e-07
13.6000000000001,1.00000012703821,-2.84403004520862e-06,1.57070163631784e-06,2.62985036872387e-07
13.8,1.00000012703849,-2.7107734187435e-06,1.60678219240581e-06,3.52097108961835e-07
14,1.00000012703851,-2.66942685162638e-06,1.64569702440845e-06,4.37993482212129e-07
14.2,1.00000012703861,-2.55149264881318e-06,1.73787896023264e-06,5.31505757690731e-07
14.4000000000001,1.00000012703897,-2.38503445196183e-06,1.72751490138887e-06,6.57658694593055e-07
14.6000000000001,1.000000127039,-2.3291818227987e-06,1.72181742823241e-06,7.9919810962864e-07
14.8,1.00000012703904,-2.21579109113343e-06,1.77125581037052e-06,9.50952821293649e-07
15,1.00000012703923,-2.08133091033312e-06,1.72591624224283e-06,1.12894675456665e-06
15.2,1.00000012703909,-2.07628823238864e-06,1.69370424270635e-06,1.29782988830818e-06
15.4000000000001,1.00000012703898,-2.01015849146408e-06,1.70965710321463e-06,1.45089778261914e-06
15.6000000000001,1.00000012703906,-1.91450562723149e-06,1.61817188773158e-06,1.62165130127012e-06
15.8,1.00000012703889,-1.92512005708651e-06,1.53345285154594e-06,1.78856610399264e-06
16,1.00000012703875,-1.86344936037308e-06,1.49235227592248e-06,1.95973851552927e-06
16.2,1.00000012703863,-1.79292997474698e-06,1.35001501315804e-06,2.17653233657716e-06
16.4000000000001,1.00000012703819,-1.8517327294177e-06,1.23177407946456e-06,2.39174362661604e-06
16.6000000000001,1.00000012703776,-1.85419688336803e-06,1.16373563782343e-06,2.59192312575263e-06
16.8,1.00000012703735,-1.8594235432403e-06,1.00493848996866e-06,2.80678874120532e-06
17,1.00000012703675,-1.97635882376139e-06,8.8117198108334e-07,2.97664093261429e-06
17.2,1.00000012703643,-1.99388754043225e-06,8.10806563035504e-07,3.0885362459071e-06
17.4000000000001,1.00000012703626,-1.97073225946618e-06,6.53238878611101e-07,3.1936354074058e-06
17.6000000000001,1.00000012703602,-2.02554182416985e-06,5.33506266796324e-07,3.25611553396443e-06
17.8,1.00000012703606,-1.97484690239898e-06,4.56078835048973e-07,3.28637672278309e-06
18,1.00000012703609,-1.91022583174733e-06,2.92297833683758e-07,3.33587350301312e-06
18.2,1.00000012703603,-1.95056853782415e-06,1.8515298874644e-07,3.33603570994156e-06
18.4000000000001,1.0000001270363,-1.90129762880908e-06,1.35684417919973e-07,3.28643321290123e-06
18.6000000000001,1.0000001270366,-1.8393714721586e-06,2.00506762408625e-08,3.23282312989642e-06
18.8,1.00000012703696,-1.85065492825515e-06,-3.3599503075632e-08,3.11241212149621e-06
19,1.00000012703768,-1.72757764976567e-06,-4.3602582745772e-08,2.94822770306041e-06
19.2,1.00000012703835,-1.55495950282438e-06,-1.30507983156503e-07,2.81248850757254e-06
19.4000000000001,1.00000012703895,-1.42072430588114e-06,-1.68422848823707e-07,2.66454771836316e-06
19.6000000000001,1.00000012703962,-1.16236863438677e-06,-1.75241527861775e-07,2.53342624494113e-06
19.8,1.00000012704004,-9.03626822750837e-07,-2.50627035819351e-07,2.46485164058508e-06
20,1.0000001270404,-7.32913814669583e-07,-2.61981593200483e-07,2.37255809210773e-06
20.2,1.00000012704086,-4.77110597016384e-07,-2.32889269750902e-07,2.24624400712442e-06
20.4000000000001,1.00000012704118,-2.26118829839937e-07,-2.69121208887335e-07,2.13188774383921e-06
20.6000000000001,1.00000012704156,-3.81845506733022e-08,-2.52532437829134e-07,1.9642419717622e-06
20.8,1.00000012704189,2.54627024380213e-07,-2.27043528117088e-07,1.77317859458015e-06
21,1.000000127042,5.41678751669189e-07,-2.8243835429112e-07,1.62992872451695e-06
21.2,1.0000001270421,7.6775649306051e-07,-2.92351253206036e-07,1.46784349346757e-06
21.4000000000001,1.00000012704203,1.07132505748793e-06,-2.89621905628229e-07,1.32255972114248e-06
21.6000000000001,1.00000012704183,1.31062688583233e-06,-3.41638484356588e-07,1.24428349075612e-06
21.8,1.00000012704179,1.43502524629739e-06,-3.31100415407876e-07,1.13451206178866e-06
22,1.00000012704168,1.60274849894844e-06,-3.01216203733162e-07,1.01026398157539e-06
22.2,1.00000012704157,1.71799292782247e-06,-3.18762780060489e-07,9.23622889566211e-07
22.4000000000001,1.00000012704158,1.77799613920466e-06,-2.85521476756784e-07,7.95438177957075e-07
22.6000000000001,1.00000012704139,1.92935056653274e-06,-2.60165443150689e-07,6.82414286239108e-07
22.8,1.00000012704115,2.05594926070644e-06,-2.99115729959082e-07,6.54377038528109e-07
23,1.00000012704102,2.12332639639573e-06,-3.03514326623067e-07,6.26089941412056e-07
23.2,1.00000012704074,2.25222055143161e-06,-3.18024585235777e-07,6.23013786539561e-07
23.4000000000001,1.0000001270405,2.32928845914082e-06,-3.82216715038436e-07,6.82317205270844e-07
23.6000000000001,1.0000001270405,2.32033061856995e-06,-4.04573594573604e-07,7.06269837787155e-07
23.8,1.00000012704039,2.34903891147345e-06,-4.34357600422042e-07,7.4270774139823e-07
24,1.00000012704033,2.33365440327048e-06,-5.07259110681113e-07,8.24473018704031e-07
24.2,1.0000001270404,2.27868577824895e-06,-5.5042527250318e-07,8.6160828446924e-07
24.4000000000001,1.00000012704032,2.27457435324641e-06,-6.09012827657712e-07,9.25383374650313e-07
24.6000000000001,1.00000012704024,2.21611352658416e-06,-7.05302801464608e-07,1.07326035923144e-06
24.8,1.0000001270403,2.09827041397059e-06,-7.73366650313329e-07,1.20045794359258e-06
25,1.00000012704028,1.99147084009241e-06,-8.49664670222322e-07,1.33609873013973e-06
25.2,1.0000001270403,1.80692798694947e-06,-9.47611913586915e-07,1.50542052097108e-06
25.4000000000001,1.00000012704051,1.55731524561966e-06,-1.01688257751406e-06,1.60257966154431e-06
25.6000000000001,1.00000012704063,1.32795609157025e-06,-1.09609424166907e-06,1.67952841706454e-06
25.8,1.00000012704066,1.0752468697162e-06,-1.19088413040938e-06,1.77341671017683e-06
26,1.00000012704077,8.17913846539418e-07,-1.26285350216318e-06,1.79981948604524e-06
26.2,1.00000012704076,6.08202333771297e-07,-1.34135356039816e-06,1.82775820192771e-06
26.4000000000001,1.00000012704065,3.82340710034998e-07,-1.42688986521505e-06,1.88705093127906e-06
26.6000000000001,1.00000012704061,1.4758093788269e-07,-1.49412624494624e-06,1.88828579190253e-06
26.8,1.00000012704054,-6.33219282061143e-08,-1.56259436807915e-06,1.87483704156e-06
27,1.0000001270404,-2.91388118187248e-07,-1.63086197520895e-06,1.8710449750034e-06
27.2,1.00000012704041,-5.11711781077569e-07,-1.68904511664916e-06,1.76418551537522e-06
27.4000000000001,1.00000012704043,-6.76414295914217e-07,-1.75494183990085e-06,1.62419675257819e-06
27.6000000000001,1.00000012704042,-8.11085379939964e-07,-1.82359892046333e-06,1.48842846085795e-06
27.8,1.00000012704049,-9.07360991960794e-07,-1.89612378148282e-06,1.2806167720078e-06
28,1.00000012704053,-9.51377435776113e-07,-1.98291283686966e-06,1.07159197886009e-06
28.2,1.00000012704051,-9.93164023055902e-07,-2.06285199114489e-06,8.79468542873407e-07
28.4000000000001,1.00000012704049,-1.04100404450455e-06,-2.14273336483425e-06,6.14248802564832e-07
28.6000000000001,1.00000012704042,-1.08931062907207e-06,-2.20983805623506e-06,3.43344833536596e-07
28.8,1.0000001270403,-1.14754536094819e-06,-2.26011894654751e-06,7.56380260855116e-08
29,1.00000012704006,-1.20788254970739e-06,-2.32092516615559e-06,-2.69400164842892e-07
29.2,1.00000012703973,-1.25673277518758e-06,-2.36983656069778e-06,-6.18098198415518e-07
29.4000000000001,1.00000012703938,-1.28104150448876e-06,-2.39497574430064e-06,-9.50550727907284e-07
29.6000000000001,1.00000012703886,-1.2985777290515e-06,-2.42663160733222e-06,-1.32293696447627e-06
29.8,1.00000012703833,-1.33014508468376e-06,-2.42603740536682e-06,-1.6526841811193e-06
30,1.00000012703788,-1.35795625168158e-06,-2.38342059418264e-06,-1.93477416803034e-06
30.2,1.00000012703727,-1.39099432689988e-06,-2.35184571409711e-06,-2.24462739089465e-06
30.4000000000001,1.00000012703669,-1.43633246619482e-06,-2.29731149372497e-06,-2.51364901529549e-06
30.6000000000001,1.00000012703626,-1.44826395559634e-06,-2.2195215157346e-06,-2.73933036584045e-06
