# TESS ephemerides
#
# source: examples/ephem/tess.tm
# start:
#  UTC: 2018-04-20T20:00:00
#   ET: 577526469.186
# end:
#  UTC: 2018-06-30T00:00:00
#   ET: 583588869.184
# increment: 3600.0s
#
# time is TESS epoch in seconds
# positions are relative to the solar system barycenter, in km
# velocities in km/s
#
# time, x, y, z, vx, vy, vz
499.176602327,-126885819.837,-72790574.9944,-31566723.4056,14.8413649125,-24.770114631,-10.6398283592
499.197397774,-126832357.661,-72879865.7437,-31605083.3278,14.8601117679,-24.8370678921,-10.6718753702
499.218768024,-126778824.8,-72969411.457,-31643565.9647,14.8807248904,-24.9120127935,-10.708144059
499.240756618,-126725213.426,-73059243.8931,-31682188.1974,14.903861261,-24.9966916111,-10.7496179913
499.26341412,-126671512.832,-73149402.0904,-31720971.0498,14.9304863323,-25.0934443537,-10.7976392353
499.286799635,-126617708.008,-73239935.0082,-31759941.2899,14.9620696584,-25.2055052478,-10.8540969937
499.310982572,-126563777.238,-73330905.5639,-31799133.9306,15.0009471391,-25.3375024729,-10.9217537903
499.336044349,-126509687.847,-73422397.0937,-31838596.3385,15.0510400494,-25.4963493177,-11.0048456717
499.362078843,-126455388.063,-73514524.2987,-31878395.4299,15.1194141991,-25.6929481774,-11.110276596
499.389187241,-126400789.934,-73607453.1817,-31918631.3521,15.2200790301,-25.9457482407,-11.2502500429
499.417449949,-126345728.384,-73701440.9431,-31959466.5718,15.3848708846,-26.289055727,-11.448925599
499.446793213,-126289842.039,-73796926.2519,-32001198.4265,15.7031805331,-26.7952901074,-11.7629297843
499.476189336,-126232092.596,-73894761.8438,-32044490.0801,16.5408111598,-27.6371412445,-12.3660071565
499.493767701,-126167053.366,-73996142.6585,-32091278.0577,21.0807263087,-28.1241675959,-13.7414596261
499.429004366,-126084104.757,-74079580.3631,-32134164.7414,21.4940500707,-20.0411526016,-10.0468780514
499.368609019,-126011601.761,-74151255.3081,-32168871.0435,19.2278964779,-19.9670925851,-9.4349465654
499.322987377,-125944124.142,-74223604.2363,-32202608.1352,18.364121842,-20.2230217198,-9.33254174767
499.285255808,-125878921.552,-74296802.5706,-32236153.8399,17.8991867523,-20.434149471,-9.30996471123
499.252589635,-125815051.082,-74370675.9346,-32269664.7572,17.6039063348,-20.6002063164,-9.30913796348
499.223542753,-125752067.632,-74445085.0157,-32303188.067,17.3980647683,-20.733595352,-9.31559905688
499.197259892,-125689721.269,-74519929.6542,-32336739.9743,17.2458645642,-20.8434117924,-9.32456447687
499.173185308,-125627855.631,-74595136.6735,-32370325.6867,17.1287226873,-20.9357420214,-9.3341914652
499.150933349,-125566365.385,-74670651.0153,-32403946.0096,17.0359433309,-21.0147139907,-9.34371255505
499.130223111,-125505175.654,-74746430.0762,-32437599.8929,16.9608904358,-21.0832113182,-9.35280289199
499.110842241,-125444230.986,-74822440.0794,-32471285.5163,16.899204859,-21.1433098357,-9.36133429671
499.092625419,-125383488.966,-74898653.6857,-32505000.7833,16.8478916157,-21.196545085,-9.36926999598
499.075440835,-125322916.302,-74975048.3744,-32538743.5523,16.8048169962,-21.2440803913,-9.37661633561
499.059181304,-125262486.292,-75051605.312,-32572511.7449,16.7684147594,-21.2868156097,-9.38339951953
499.043758213,-125202177.134,-75128308.5429,-32606303.3944,16.7375060195,-21.3254595434,-9.38965404932
499.029097259,-125141970.752,-75205144.3961,-32640116.664,16.7111843142,-21.3605794558,-9.39541689613
499.015135376,-125081851.96,-75282101.0418,-32673949.8499,16.6887397283,-21.3926357367,-9.4007245819
499.001818467,-125021807.856,-75359168.1536,-32707801.3765,16.6696073138,-21.4220067097,-9.40561177756
498.989099692,-124961827.363,-75436336.647,-32741669.7889,16.6533311309,-21.4490067197,-9.41011069794
498.976938162,-124901900.894,-75513598.475,-32775553.7432,16.6395386121,-21.473899558,-9.41425091878
498.965297919,-124842020.076,-75590946.4645,-32809451.9975,16.6279219242,-21.4969085808,-9.41805941234
498.954147131,-124782177.555,-75668374.186,-32843363.4024,16.6182241804,-21.5182244447,-9.42156069045
498.943457454,-124722366.82,-75745875.8464,-32877286.8926,16.6102290777,-21.5380110957,-9.42477699438
498.933203512,-124662582.083,-75823446.2019,-32911221.4791,16.6037529981,-21.5564104637,-9.4277285005
498.923362475,-124602818.165,-75901080.4859,-32945166.2421,16.5986389115,-21.5735461777,-9.43043352167
498.913913712,-124543070.412,-75978774.3485,-32979120.3247,16.594751613,-21.5895265381,-9.43290869752
498.904838503,-124483334.623,-76056523.8055,-33013082.9271,16.5919739628,-21.6044469159,-9.43516916937
498.896119798,-124423606.991,-76134325.1959,-33047053.3017,16.5902038891,-21.6183917043,-9.43722873814
498.887742014,-124363884.053,-76212175.1454,-33081030.7481,16.589351978,-21.631435918,-9.43910000529
498.879690864,-124304162.65,-76290070.5345,-33115014.6096,16.5893395176,-21.6436465176,-9.44079449943
498.871953208,-124244439.885,-76368008.4722,-33149004.2691,16.5900968996,-21.655083508,-9.44232278767
498.864516929,-124184713.102,-76445986.2724,-33182999.1459,16.5915623043,-21.6658008574,-9.44369457433
498.857370825,-124124979.853,-76524001.4334,-33216998.693,16.5936806098,-21.6758472732,-9.44491878903
498.850504514,-124065237.878,-76602051.6207,-33251002.394,16.5964024829,-21.6852668569,-9.44600366403
