Skipped 231912935 ('sector-1', 'cam3', 'ccd1')
Skipped 55652896 ('sector-1', 'cam4', 'ccd1')
Skipped 55652896 ('sector-1', 'cam4', 'ccd1')
Skipped 260043723 ('sector-1', 'cam4', 'ccd4')
Skipped 260609205 ('sector-1', 'cam4', 'ccd4')
Skipped 150098860 ('sector-1', 'cam4', 'ccd4')
Skipped 316937670 ('sector-1', 'cam2', 'ccd2')
Skipped 144440290 ('sector-2', 'cam2', 'ccd4')
Skipped 326453034 ('sector-2', 'cam1', 'ccd4')
Skipped 70797900 ('sector-2', 'cam1', 'ccd2')
Skipped 47525799 ('sector-2', 'cam1', 'ccd4')
Skipped 47484268 ('sector-2', 'cam1', 'ccd4')
Skipped 77044471 ('sector-2', 'cam1', 'ccd2')
Skipped 120610833 ('sector-2', 'cam2', 'ccd3')
Skipped 160074939 ('sector-2', 'cam1', 'ccd1')
Skipped 204376737 ('sector-2', 'cam1', 'ccd4')
Skipped 402026209 ('sector-2', 'cam2', 'ccd4')
Skipped 415969908 ('sector-2', 'cam1', 'ccd4')
Skipped 280095254 ('sector-2', 'cam3', 'ccd3')
Skipped 9727392 ('sector-2', 'cam1', 'ccd3')
Skipped 305048087 ('sector-2', 'cam1', 'ccd1')
Skipped 9006668 ('sector-2', 'cam1', 'ccd4')
Skipped 9725627 ('sector-2', 'cam1', 'ccd3')
Skipped 101948569 ('sector-2', 'cam2', 'ccd2')
Skipped 77031414 ('sector-2', 'cam1', 'ccd1')
Skipped 120585579 ('sector-2', 'cam2', 'ccd3')
Skipped 149010208 ('sector-2', 'cam1', 'ccd2')
Skipped 118327550 ('sector-2', 'cam2', 'ccd3')
Skipped 154618248 ('sector-2', 'cam1', 'ccd1')
Skipped 158623531 ('sector-2', 'cam3', 'ccd1')
Skipped 160148385 ('sector-2', 'cam2', 'ccd1')
Skipped 201793781 ('sector-2', 'cam3', 'ccd1')
Skipped 179985715 ('sector-2', 'cam2', 'ccd3')
Skipped 184240683 ('sector-2', 'cam2', 'ccd4')
Skipped 224225541 ('sector-2', 'cam2', 'ccd4')
Skipped 237924601 ('sector-1', 'cam4', 'ccd1')
Skipped 322063810 ('sector-2', 'cam2', 'ccd2')
Skipped 49687222 ('sector-2', 'cam1', 'ccd3')
Skipped 92226327 ('sector-3', 'cam1', 'ccd1')
Skipped 92226327 ('sector-3', 'cam1', 'ccd1')
Skipped 200723869 ('sector-3', 'cam3', 'ccd1')
Skipped 350445771 ('sector-1', 'cam4', 'ccd4')
Skipped 12862099 ('sector-3', 'cam1', 'ccd4')
Skipped 37749396 ('sector-3', 'cam1', 'ccd4')
Skipped 63898957 ('sector-3', 'cam1', 'ccd1')
Skipped 63898957 ('sector-3', 'cam1', 'ccd1')
Skipped 70513361 ('sector-3', 'cam2', 'ccd3')
Skipped 122612091 ('sector-3', 'cam2', 'ccd2')
Skipped 159951311 ('sector-3', 'cam3', 'ccd1')
Skipped 164767175 ('sector-3', 'cam1', 'ccd2')
Skipped 164767175 ('sector-3', 'cam1', 'ccd2')
Skipped 166836920 ('sector-3', 'cam3', 'ccd2')
Skipped 219253008 ('sector-3', 'cam3', 'ccd4')
Skipped 220479565 ('sector-4', 'cam3', 'ccd4')
Skipped 259377017 ('sector-3', 'cam3', 'ccd4')
Skipped 259377017 ('sector-3', 'cam3', 'ccd4')
Skipped 259377017 ('sector-3', 'cam3', 'ccd4')
Skipped 259511357 ('sector-3', 'cam3', 'ccd4')
Skipped 268766053 ('sector-3', 'cam2', 'ccd3')
Skipped 279740441 ('sector-1', 'cam3', 'ccd4')
Skipped 281979481 ('sector-10', 'cam3', 'ccd4')
Skipped 373844472 ('sector-1', 'cam4', 'ccd1')
Skipped 382188882 ('sector-1', 'cam4', 'ccd4')
Skipped 439456714 ('sector-3', 'cam1', 'ccd1')
Skipped 244161191 ('sector-3', 'cam1', 'ccd4')
Skipped 122613513 ('sector-3', 'cam2', 'ccd2')
Skipped 42054565 ('sector-3', 'cam2', 'ccd1')
Skipped 38696105 ('sector-1', 'cam4', 'ccd1')
Skipped 29781292 ('sector-1', 'cam4', 'ccd1')
Skipped 29781292 ('sector-1', 'cam4', 'ccd1')
Skipped 29781292 ('sector-1', 'cam4', 'ccd1')
Skipped 382626661 ('sector-1', 'cam4', 'ccd3')
Skipped 277103955 ('sector-1', 'cam4', 'ccd1')
Skipped 220459976 ('sector-2', 'cam4', 'ccd1')
Skipped 150030205 ('sector-1', 'cam4', 'ccd4')
Skipped 150030205 ('sector-1', 'cam4', 'ccd4')
Skipped 2758565 ('sector-2', 'cam1', 'ccd3')
Skipped 47316976 ('sector-2', 'cam1', 'ccd1')
Skipped 201292545 ('sector-1', 'cam2', 'ccd2')
Skipped 201233610 ('sector-2', 'cam2', 'ccd1')
Skipped 49710555 ('sector-2', 'cam1', 'ccd3')
Skipped 180285396 ('sector-2', 'cam2', 'ccd3')
Skipped 355637190 ('sector-1', 'cam2', 'ccd2')
Skipped 188570092 ('sector-2', 'cam1', 'ccd4')
Skipped 327952677 ('sector-2', 'cam1', 'ccd3')
Skipped 382463648 ('sector-2', 'cam2', 'ccd4')
Skipped 115242351 ('sector-2', 'cam2', 'ccd3')
Skipped 206686292 ('sector-2', 'cam1', 'ccd1')
Skipped 156075294 ('sector-2', 'cam2', 'ccd2')
Skipped 166697854 ('sector-2', 'cam3', 'ccd1')
Skipped 144301052 ('sector-2', 'cam2', 'ccd4')
Skipped 229111835 ('sector-2', 'cam2', 'ccd2')
Skipped 145750719 ('sector-2', 'cam1', 'ccd4')
Skipped 262530873 ('sector-2', 'cam2', 'ccd2')
Skipped 102030574 ('sector-2', 'cam2', 'ccd2')
Skipped 114749636 ('sector-2', 'cam1', 'ccd2')
Skipped 9100874 ('sector-2', 'cam1', 'ccd4')
Skipped 281710229 ('sector-2', 'cam2', 'ccd1')
Skipped 228507250 ('sector-2', 'cam1', 'ccd3')
Skipped 175477257 ('sector-2', 'cam2', 'ccd4')
Skipped 434105231 ('sector-2', 'cam1', 'ccd3')
Skipped 180145006 ('sector-2', 'cam2', 'ccd3')
Skipped 9102327 ('sector-2', 'cam1', 'ccd3')
Skipped 316769613 ('sector-2', 'cam1', 'ccd1')
Skipped 66356824 ('sector-2', 'cam2', 'ccd3')
Skipped 8988289 ('sector-2', 'cam1', 'ccd3')
Skipped 402319411 ('sector-2', 'cam1', 'ccd3')
Skipped 206352378 ('sector-1', 'cam2', 'ccd2')
Skipped 389753172 ('sector-1', 'cam2', 'ccd3')
Skipped 188593930 ('sector-2', 'cam1', 'ccd4')
Skipped 175476629 ('sector-2', 'cam2', 'ccd4')
Skipped 198077394 ('sector-2', 'cam4', 'ccd1')
Skipped 251852984 ('sector-2', 'cam2', 'ccd3')
Skipped 156002449 ('sector-2', 'cam2', 'ccd1')
Skipped 66413476 ('sector-2', 'cam2', 'ccd3')
Skipped 144336525 ('sector-2', 'cam2', 'ccd4')
Skipped 206669860 ('sector-2', 'cam1', 'ccd1')
Skipped 139357541 ('sector-2', 'cam2', 'ccd4')
Skipped 169765334 ('sector-2', 'cam1', 'ccd3')
Skipped 27966179 ('sector-2', 'cam1', 'ccd2')
Skipped 262531275 ('sector-2', 'cam2', 'ccd2')
Skipped 139285832 ('sector-1', 'cam2', 'ccd3')
Skipped 224245334 ('sector-2', 'cam2', 'ccd4')
Skipped 233964642 ('sector-1', 'cam3', 'ccd4')
Skipped 41865539 ('sector-2', 'cam2', 'ccd2')
Skipped 55452495 ('sector-1', 'cam4', 'ccd1')
Skipped 155986102 ('sector-2', 'cam2', 'ccd1')
Skipped 116156517 ('sector-2', 'cam2', 'ccd3')
Skipped 69838258 ('sector-2', 'cam1', 'ccd4')
Skipped 80439101 ('sector-2', 'cam2', 'ccd2')
Skipped 33911302 ('sector-2', 'cam1', 'ccd2')
Skipped 415969574 ('sector-2', 'cam1', 'ccd4')
Skipped 66497310 ('sector-2', 'cam1', 'ccd3')
Skipped 13023378 ('sector-2', 'cam1', 'ccd1')
Skipped 308208458 ('sector-2', 'cam2', 'ccd3')
Skipped 118327533 ('sector-2', 'cam2', 'ccd3')
Skipped 224271611 ('sector-2', 'cam2', 'ccd4')
Skipped 70785910 ('sector-2', 'cam1', 'ccd2')
Skipped 382474101 ('sector-2', 'cam2', 'ccd1')
Skipped 199731190 ('sector-2', 'cam2', 'ccd2')
Skipped 228381868 ('sector-2', 'cam1', 'ccd3')
Skipped 47423120 ('sector-2', 'cam1', 'ccd4')
Skipped 100099031 ('sector-2', 'cam2', 'ccd2')
Skipped 100097716 ('sector-2', 'cam2', 'ccd2')
Skipped 183593642 ('sector-2', 'cam2', 'ccd3')
Skipped 369336146 ('sector-2', 'cam2', 'ccd3')
Skipped 220016044 ('sector-2', 'cam3', 'ccd1')
Skipped 321982642 ('sector-2', 'cam2', 'ccd1')
Skipped 80432617 ('sector-2', 'cam2', 'ccd2')
Skipped 13023738 ('sector-2', 'cam1', 'ccd1')
Skipped 144276942 ('sector-2', 'cam2', 'ccd4')
Skipped 305048116 ('sector-2', 'cam1', 'ccd1')
Skipped 262530780 ('sector-2', 'cam2', 'ccd2')
