Skipped 9100874 ('sector-2', 'cam1', 'ccd4') TIC not in AN File
Skipped 228507250 ('sector-2', 'cam1', 'ccd3') TIC not in AN File
Skipped 175477257 ('sector-2', 'cam2', 'ccd4') TIC not in AN File
Skipped 434105231 ('sector-2', 'cam1', 'ccd3') TIC not in AN File
Skipped 180145006 ('sector-2', 'cam2', 'ccd3') TIC not in AN File
Skipped 66356824 ('sector-2', 'cam2', 'ccd3') TIC not in AN File
Skipped 8988289 ('sector-2', 'cam1', 'ccd3') TIC not in AN File
Skipped 402319411 ('sector-2', 'cam1', 'ccd3') TIC not in AN File
Skipped 206352378 ('sector-1', 'cam2', 'ccd2') TIC not in AN File
Skipped 389753172 ('sector-1', 'cam2', 'ccd3') TIC not in AN File
Skipped 188593930 ('sector-2', 'cam1', 'ccd4') TIC not in AN File
Skipped 175476629 ('sector-2', 'cam2', 'ccd4') TIC not in AN File
Skipped 251852984 ('sector-2', 'cam2', 'ccd3') TIC not in AN File
Skipped 156002449 ('sector-2', 'cam2', 'ccd1') TIC not in AN File
Skipped 206669860 ('sector-2', 'cam1', 'ccd1') TIC not in AN File
Skipped 139357541 ('sector-2', 'cam2', 'ccd4') TIC not in AN File
Skipped 27966179 ('sector-2', 'cam1', 'ccd2') TIC not in AN File
Skipped 262531275 ('sector-2', 'cam2', 'ccd2') TIC not in AN File
Skipped 224245334 ('sector-2', 'cam2', 'ccd4') AN Score: 0.024

Skipped 41865539 ('sector-2', 'cam2', 'ccd2') TIC not in AN File
Skipped 69838258 ('sector-2', 'cam1', 'ccd4') TIC not in AN File
Skipped 80439101 ('sector-2', 'cam2', 'ccd2') TIC not in AN File
Skipped 33911302 ('sector-2', 'cam1', 'ccd2') TIC not in AN File
Skipped 415969574 ('sector-2', 'cam1', 'ccd4') TIC not in AN File
Skipped 66497310 ('sector-2', 'cam1', 'ccd3') TIC not in AN File
Skipped 308208458 ('sector-2', 'cam2', 'ccd3') TIC not in AN File
Skipped 118327533 ('sector-2', 'cam2', 'ccd3') TIC not in AN File
Skipped 224271611 ('sector-2', 'cam2', 'ccd4') AN Score: 0.048

Skipped 70785910 ('sector-2', 'cam1', 'ccd2') TIC not in AN File
Skipped 199731190 ('sector-2', 'cam2', 'ccd2') TIC not in AN File
Skipped 228381868 ('sector-2', 'cam1', 'ccd3') TIC not in AN File
Skipped 100099031 ('sector-2', 'cam2', 'ccd2') TIC not in AN File
Skipped 100097716 ('sector-2', 'cam2', 'ccd2') TIC not in AN File
Skipped 369336146 ('sector-2', 'cam2', 'ccd3') TIC not in AN File
Skipped 220016044 ('sector-2', 'cam3', 'ccd1') AN Score: 0.028

Skipped 321982642 ('sector-2', 'cam2', 'ccd1') TIC not in AN File
Skipped 80432617 ('sector-2', 'cam2', 'ccd2') TIC not in AN File
Skipped 13023738 ('sector-2', 'cam1', 'ccd1') TIC not in AN File
Skipped 305048116 ('sector-2', 'cam1', 'ccd1') TIC not in AN File
Skipped 262530780 ('sector-2', 'cam2', 'ccd2') TIC not in AN File
Skipped 47425697 ('sector-2', 'cam1', 'ccd4') AN Score: 0.064

Skipped 118586896 ('sector-2', 'cam2', 'ccd3') TIC not in AN File
Skipped 251878904 ('sector-2', 'cam2', 'ccd3') TIC not in AN File
Skipped 77031413 ('sector-2', 'cam1', 'ccd1') TIC not in AN File
