This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Fri Apr 03 07:45:18 2020																																																				
																																																				
TIC ID	TOI	Previous CTOI	Master priority	SG1A priority	SG1B priority	SG2 priority	SG3 priority	SG4 priority	SG5 priority	ACWG priority	TESS Disposition	TFOPWG Disposition	TESS mag	TESS mag error	PCs	Source	RA (degrees)	Dec (degrees)	PM RA (mas/yr)	PM RA error	PM Dec (mas/yr)	PM Dec error	Epoch (BJD)	Epoch error	Period (days)	Period error	Duration (hours)	Duration error	Depth (mmag)	Depth (mmag) error	Depth (ppm)	Depth (ppm) error	Planet Radius (R_Earth)	Planet Radius error	Planet Insolation (Earth flux)	Planet Eq Temp (K)	Planet SNR	Stellar Distance (pc)	Stellar Distance error	Stellar Teff (K)	Stellar Teff error	Stellar log(g) (cm/s2)	Stellar log(g) error	Stellar Radius (R_Sun)	Stellar Radius error	Stellar Metallicity	Stellar Metallicity error	Sectors	Comments	Date TOI Alerted (by TESS Project)	Date TOI Updated (by TESS Project)	Date Modified (by ExoFOP-TESS)
97409519	113.01		5	5	5	5	5	5	5	5	KP	KP	12.1893	0.006	1	spoc	332.714337	-30.749719	-0.71	0.052	-14.516	0.049	2458327.053101	0.000623	3.372877	0.000147	2.63426	0.043644	18.796923	0.230641	17163.603516	212.405869	14.201803	0.154789	615.165894	1270.1875	0.829214	448.637	7.508	6050		4.45061		1.02				1	WASP-124	2018-09-05	2019-12-17	2020-01-16
25155310	114.01		5	5	5	5	5	5	5	5	KP	KP	10.6103	0.006	1	spoc	63.374706	-69.226593	63.134	0.045	53.433	0.039	2458327.520874	0.000203	3.288776	0.000007	3.410191	0.019658	7.763906	0.031384	7125.314941	28.905638	10.835677	0.075686	808.154602	1359.857422	240.635345	216.526	0.932	5800		4.28004		1.27		0.20683	0.0458093	"1,2,3,4,5,6"		2018-09-05	2019-12-17	2020-01-16
281541555	115.01		5	5	5	5	5	5	5	5	KP	KP	13.0417	0.006	1	spoc	6.70264	-56.316102	21.46	0.027	7.316	0.024	2458329.900635	0.001812	4.742745	0.000262	2.408768	0.137056	14.669268	0.562533	13420.032227	517.978088	11.517937	11.536549	246.937668	1011.035889	24.498663	453.808	3.894	5377	185	4.42476	2.00401	0.980778	0.980778			"1,2"	HATS-46	2018-09-05	2019-12-17	2020-03-04
238176110	116.01		5	5	5	5	5	5	5	5	KP	KP	11.0443	0.006	1	spoc	357.846434	-70.152862	96.185	0.041	-1.747	0.038	2458326.689331	0.00026	2.798594	0.000049	2.366459	0.022664	18.483064	0.109788	16879.449219	101.113579	11.293845	0.108967	288.255493	1050.906738	0.808503	149.942	0.5175	4920		4.49371		0.86		0.32	0.08	1	WASP-91	2018-09-05	2019-12-17	2020-01-16
322307342	117.01		5	5	5	5	5	5	5	5	PC	KP	11.7806	0.006	1	qlp	15.006077	-58.904724	22.522	0.049	7.594	0.041	2458328.480957	0.00133	3.5855	0.00038	3.173	0.123	6.798766	0.004213	6242.330078	3.88	15.2606	0.655196	668.223022	1416	49	603.955	10.2025	6075	108.300003	3.71	0.08	1.76	0.06	-0.25	0.0707107	1	HATS-68	2018-09-05	2019-12-17	2020-03-04
266980320	118.01		2	5	5	4	4	2	4	5	PC	CP	9.179	0.006	1	spoc	349.559266	-56.903986	313.918	0.039	-20.177	0.043	2458329.199585	0.001235	6.036061	0.000637	2.123832	0.09961	1.85171	0.061023	1704.034302	56.202583	4.926376	0.630906	242.435043	1006.395264	0.830483	94.1719	0.2512	5586	187	4.36763	0.270247	1.0776	0.128732			1		2018-09-05	2019-12-17	2020-01-16
278683844	119.01		1	5	5	5	2	1	4		PC		9.2789	0.006	1	spoc	99.238421	-58.016153	51.497	0.042	-205.6	0.049	2458327.615845	0.002023	5.541143	0.000132	3.03471	0.132389	0.679699	0.032176	625.829712	29.63431	2.468596	0.314115			20.643391	66.6187	0.1003	5332	184	4.56429	0.272717	0.829762	0.100432			"1,2,3,4,5,6"	follow up in progress	2018-08-30	2019-12-17	2019-12-17
278683844	119.02		4	5	5	5	2	4	4	5	PC		9.2789	0.006	2	spoc	99.238421	-58.016153	51.497	0.042	-205.6	0.049	2458328.046387	0.002725	10.691632	0.000083	3.177466	0.415448	0.563905	0.028667	519.241028	26.402765	1.891011	0.969714	58.334728	704.857849	19.546083	66.6187	0.1003	5332	184	4.56429	0.272717	0.829762	0.100432			"1,2,3,4,5,6,8,9,10,11,12,13"	follow up in progress	2018-10-19	2019-12-17	2020-01-16
394137592	120.01		3	5	5	3	4	4	4		KP	CP	7.1062	0.006	1	spoc	4.447163	-66.358928	64.763	0.049	-5.056	0.041	2458332.082764	0.000707	11.535076	0.001035	8.555958	0.069027	2.597913	0.031416	2389.90625	28.935114	12.215808	1.480912			32.900002	79.5702	0.17345	5479.299805	57	3.77	0.08	2.48771	0.298399	-0.02	0.09	1		2018-09-05	2019-12-17	2019-12-17
207081058	121.01		5	5	5	5	5	5	5	5	PC	FP	9.9358	0.006	1	spoc	331.867517	-41.815511	49.561	0.042	-9.678	0.057	2458336.139771	0.00037	14.775056	0.000529	5.449073	0.03672	15.425729	0.106714	14107.169922	98.282562	14.783107	2.180077	119.985214	844.115112	0.836588	182.169	1.0865	6053	193	4.3135	0.321619	1.22591	0.180608			1	Warm Jupiter candidate with a possible secondary	2018-09-05	2019-12-17	2020-01-16
